ID,Report,Category,Severity,Priority,Title,Impact,Evidence,RootCause,Recommendation,AcceptanceCriteria,Effort,Dependencies,SuggestedOwner,Status,BacklogStatus
PERF-006,Code,Database,P2,P2,Userliste lädt Rollen in N+1-Schleife,Adminliste erzeugt pro User zusätzliche Query,users.repository.ts:121-146,findRolesByUserId pro Row,Join/aggregate oder Batch-IN,Querycount bleibt konstant bei 1/100 Usern,S,,Users Backend,CODE_CONFIRMED,OPEN
MAINT-001,Code,Maintainability,P1,P1,Media 1.704 LOC und Pages 1.622 LOC sind Änderungshotspots,"Hohe Kopplung, schwierige Tests und Merge-Konflikte",code-metrics.json,"Route, State, Dialoge, Datenzugriff und Renderer leben in Monolithdateien",Feature-Slices/Hooks/Presenter schrittweise extrahieren,Kein Route-Component >500 LOC; Verhaltenstests grün,L,,Frontend Architecture,CODE_CONFIRMED,OPEN
MAINT-002,Code,Maintainability,P2,P2,73.317 LOC haben nur 22 Testdateien,Viele Domains sind nur manuell abgesichert,code-metrics.json; Backend 0 App-Tests,Testpyramide/CI aggregiert Domain-Tests nicht konsequent,Contract-/Service-/Component-/E2E-Mindestmatrix,Coverage je kritischer Domain mit Schwellen,XL,FUNC-009,QA/Architecture,CODE_CONFIRMED,OPEN
MAINT-003,Code,Quality,P2,P2,Lint besteht trotz 76 Warnungen,Bekannte React-/A11y-/Performanceprobleme werden normalisiert,"quality-summary.json: 38 img, 23 hooks, Alt-Warnungen","CI nutzt Error-only Gate, keine Warning-Baseline",Warnbudget und baseline-aware no-new-warnings,Neue Warnungen 0; Bestand priorisiert abgebaut,M,,Frontend/QA,BOTH,OPEN
DOCKER-001,Code,CI/CD,P0,P0,Tag-Dockerjob kann Frontend/Backend aus Clean Checkout nicht bauen,Release-Pipeline ist nicht reproduzierbar bzw. scheitert,CI Dockerjob fresh checkout; tracked .next/dist jeweils 0; Dockerfiles COPY sie,Build-Artefakte aus vorherigem Job werden weder gebaut noch übertragen,Dockerfiles bauen selbst oder CI lädt signierte Artifacts,Tag aus Clean Checkout baut/pusht alle Images und Smoke-Test startet sie,L,,DevOps/CI,CODE_CONFIRMED,OPEN
DOCKER-002,Code,Docker,P0,P0,Backend-Dockerfile überspringt alle Builds und übernimmt Host-dist,Stale oder fehlende Binärdateien gelangen ins Image,backend Dockerfile:60-69; .dockerignore lässt dist absichtlich zu,Builder-Stage ist nur Attrappe wegen früherem WSL-Problem,Hermetischer Linux-Build mit Ressourcenfix; keine Host-dist-Abhängigkeit,docker build aus git archive erfolgreich; SHA im Binary/Image,L,DOCKER-001,DevOps/Backend,CODE_CONFIRMED,OPEN
DOCKER-003,Code,Docker,P0,P0,Frontend-Image verlangt vorgebautes .next; API-Base ist eingefroren,Runtime-Env in Compose ändert Client/Rewrites nicht; stale UI-Deploys,frontend Dockerfile:5-10; routes-manifest destination backend:3007,Prebuilt-Dockerfile und NEXT_PUBLIC Build-time-Konfiguration,Multi-stage Next build mit explizitem ARG oder same-origin BFF,Image aus Clean Checkout; API-Ziel per dokumentiertem Build/Runtime-Vertrag,L,DOCKER-001,DevOps/Frontend,CODE_CONFIRMED,OPEN
DOCKER-004,Code,Migrations,P0,P0,Backend startet trotz fehlgeschlagener Migration,Teilweise Schema-Stände gehen als scheinbar healthy online,start.sh:29-32 „non-fatal“; Finance/Shopping live 500,Migrationfehler wird verschluckt,"Fail-fast Migration, readiness erst nach Schema-Version",Kaputte Migration verhindert Start; Upgrade/Rollback getestet,M,,DevOps/DB,CODE_CONFIRMED,OPEN
DOCKER-005,Code,Container Security,P1,P1,Frontend und Backend laufen als root,Container-Kompromiss hat unnötig hohe Rechte,Dockerfiles ohne USER; Browser ist positiv non-root,Runner-User nicht definiert,"UID ohne Shell, chown, read-only FS wo möglich",docker inspect zeigt non-root; Schreibpfade explizit,M,,DevOps/Security,CODE_CONFIRMED,OPEN
DOCKER-006,Code,Network,P1,P1,Prod exponiert Backend und Chrome trotz Traefik direkt,"TLS, Rate-Limit und Security-Headers können umgangen werden",docker-compose.prod.yml ports 3007 und 3111,Interne Services veröffentlichen Hostports,Nur Traefik extern; interne Netzsegmente,Portscan Host zeigt nur 80/443 und explizite optionale Dienste,M,BROW-009,DevOps/Security,CODE_CONFIRMED,OPEN
DOCKER-007,Code,Reliability,P1,P1,Keine CPU/RAM/PID-Limits für Browser und Kernservices,Browser-/Query-Spikes können gesamten NAS destabilisieren,Compose ohne deploy/resources/mem_limit/pids_limit,Ressourcenverträge fehlen,"Service-Limits, reservations, ulimits und OOM-Policy",5-Session-Test bleibt innerhalb Budget; Kern-DB verfügbar,M,BROW-006,DevOps/Performance,CODE_CONFIRMED,OPEN
DOCKER-008,Code,Release,P2,P2,Production nutzt mutable latest-Tags ohne Digest/Rollbackvertrag,Nicht reproduzierbare Deploys und unsicheres Rollback,docker-compose.prod.yml ghcr ...:latest,Versiontag wird nicht im Compose fixiert,Immutable Version/Digest + dokumentiertes Rollback,Deployment manifestiert Build-ID/SHA und kann N-1 starten,S,,DevOps/Release,CODE_CONFIRMED,OPEN
MAINT-004,Code,Testing,P1,P1,Rekursiver Workspace-Test scheitert an @lifehub/auth-Auflösung,API-Controller-Suites laufen in CI nicht; pnpm stoppt beim ersten Domainfehler,"workspace-test.log: Contacts API suite FAIL, Dashboard API suite 0 tests; workspace typecheck PASS",Workspace-Package main/exports zeigt auf nicht vorhandene dist-Artefakte oder Vitest-Alias fehlt,Test-Aliases/source exports zentral konfigurieren; Packages vor Tests reproduzierbar bauen,pnpm -r run test läuft aus Clean Checkout vollständig grün und führt alle Controller-Suites aus,M,DOCKER-002,QA/Platform,BOTH,OPEN
